id,name,bpm,nps
659,AllMapsGroupedV1,179.0,5.0
699,AllMapsGroupedV1,190.0,5.0
722,AllMapsGroupedV1,200.0,5.0
819,AllMapsGroupedV1,220.0,5.0
917,AllMapsGroupedV1,300.0,5.0
195,AllMapsGroupedV1,10.0,6.0
227,AllMapsGroupedV1,92.0,6.0
231,AllMapsGroupedV1,94.0,6.0
256,AllMapsGroupedV1,100.0,6.0
329,AllMapsGroupedV1,110.0,6.0
349,AllMapsGroupedV1,116.0,6.0
402,AllMapsGroupedV1,125.0,6.0
425,AllMapsGroupedV1,128.0,6.0
439,AllMapsGroupedV1,130.0,6.0
451,AllMapsGroupedV1,134.0,6.0
478,AllMapsGroupedV1,140.0,6.0
511,AllMapsGroupedV1,147.0,6.0
593,AllMapsGroupedV1,168.0,6.0
637,AllMapsGroupedV1,175.0,6.0
689,AllMapsGroupedV1,188.0,6.0
887,AllMapsGroupedV1,256.0,6.0
892,AllMapsGroupedV1,260.0,6.0
330,AllMapsGroupedV1,110.0,7.0
368,AllMapsGroupedV1,120.0,7.0
403,AllMapsGroupedV1,125.0,7.0
415,AllMapsGroupedV1,126.0,7.0
465,AllMapsGroupedV1,138.0,7.0
479,AllMapsGroupedV1,140.0,7.0
526,AllMapsGroupedV1,150.0,7.0
558,AllMapsGroupedV1,160.0,7.0
576,AllMapsGroupedV1,161.0,7.0
585,AllMapsGroupedV1,165.0,7.0
622,AllMapsGroupedV1,174.0,7.0
638,AllMapsGroupedV1,175.0,7.0
690,AllMapsGroupedV1,188.0,7.0
723,AllMapsGroupedV1,200.0,7.0
820,AllMapsGroupedV1,220.0,7.0
959,AllMapsGroupedV1,350.0,7.0
201,AllMapsGroupedV1,50.0,8.0
217,AllMapsGroupedV1,89.0,8.0
236,AllMapsGroupedV1,95.0,8.0
257,AllMapsGroupedV1,100.0,8.0
352,AllMapsGroupedV1,118.0,8.0
426,AllMapsGroupedV1,128.0,8.0
456,AllMapsGroupedV1,135.0,8.0
482,AllMapsGroupedV1,140.0,8.0
561,AllMapsGroupedV1,160.0,8.0
594,AllMapsGroupedV1,168.0,8.0
641,AllMapsGroupedV1,175.0,8.0
677,AllMapsGroupedV1,181.0,8.0
681,AllMapsGroupedV1,185.0,8.0
684,AllMapsGroupedV1,186.0,8.0
724,AllMapsGroupedV1,200.0,8.0
809,AllMapsGroupedV1,213.0,8.0
821,AllMapsGroupedV1,220.0,8.0
849,AllMapsGroupedV1,234.0,8.0
918,AllMapsGroupedV1,300.0,8.0
206,AllMapsGroupedV1,69.0,9.0
237,AllMapsGroupedV1,95.0,9.0
331,AllMapsGroupedV1,110.0,9.0
406,AllMapsGroupedV1,125.0,9.0
416,AllMapsGroupedV1,126.0,9.0
504,AllMapsGroupedV1,145.0,9.0
531,AllMapsGroupedV1,150.0,9.0
562,AllMapsGroupedV1,160.0,9.0
625,AllMapsGroupedV1,174.0,9.0
654,AllMapsGroupedV1,177.0,9.0
658,AllMapsGroupedV1,178.0,9.0
682,AllMapsGroupedV1,185.0,9.0
700,AllMapsGroupedV1,190.0,9.0
717,AllMapsGroupedV1,198.0,9.0
725,AllMapsGroupedV1,200.0,9.0
783,AllMapsGroupedV1,202.0,9.0
810,AllMapsGroupedV1,215.0,9.0
919,AllMapsGroupedV1,300.0,9.0
939,AllMapsGroupedV1,310.0,9.0
262,AllMapsGroupedV1,100.0,10.0
308,AllMapsGroupedV1,105.0,10.0
347,AllMapsGroupedV1,115.0,10.0
351,AllMapsGroupedV1,117.0,10.0
369,AllMapsGroupedV1,120.0,10.0
427,AllMapsGroupedV1,128.0,10.0
493,AllMapsGroupedV1,142.0,10.0
644,AllMapsGroupedV1,175.0,10.0
685,AllMapsGroupedV1,186.0,10.0
701,AllMapsGroupedV1,190.0,10.0
726,AllMapsGroupedV1,200.0,10.0
791,AllMapsGroupedV1,210.0,10.0
850,AllMapsGroupedV1,238.0,10.0
871,AllMapsGroupedV1,242.0,10.0
872,AllMapsGroupedV1,250.0,10.0
890,AllMapsGroupedV1,256.0,10.0
914,AllMapsGroupedV1,294.0,10.0
943,AllMapsGroupedV1,320.0,10.0
960,AllMapsGroupedV1,350.0,10.0
371,AllMapsGroupedV1,120.0,11.0
442,AllMapsGroupedV1,130.0,11.0
483,AllMapsGroupedV1,140.0,11.0
490,AllMapsGroupedV1,141.0,11.0
534,AllMapsGroupedV1,150.0,11.0
645,AllMapsGroupedV1,175.0,11.0
702,AllMapsGroupedV1,190.0,11.0
718,AllMapsGroupedV1,198.0,11.0
784,AllMapsGroupedV1,204.0,11.0
792,AllMapsGroupedV1,210.0,11.0
807,AllMapsGroupedV1,212.0,11.0
818,AllMapsGroupedV1,218.0,11.0
923,AllMapsGroupedV1,300.0,11.0
318,AllMapsGroupedV1,108.0,12.0
340,AllMapsGroupedV1,114.0,12.0
586,AllMapsGroupedV1,165.0,12.0
646,AllMapsGroupedV1,175.0,12.0
703,AllMapsGroupedV1,190.0,12.0
793,AllMapsGroupedV1,210.0,12.0
813,AllMapsGroupedV1,216.0,12.0
822,AllMapsGroupedV1,220.0,12.0
831,AllMapsGroupedV1,222.0,12.0
843,AllMapsGroupedV1,230.0,12.0
884,AllMapsGroupedV1,255.0,12.0
893,AllMapsGroupedV1,260.0,12.0
907,AllMapsGroupedV1,280.0,12.0
961,AllMapsGroupedV1,350.0,12.0
990,AllMapsGroupedV1,420.0,12.0
332,AllMapsGroupedV1,110.0,13.0
494,AllMapsGroupedV1,142.0,13.0
537,AllMapsGroupedV1,150.0,13.0
563,AllMapsGroupedV1,160.0,13.0
612,AllMapsGroupedV1,170.0,13.0
655,AllMapsGroupedV1,177.0,13.0
661,AllMapsGroupedV1,180.0,13.0
686,AllMapsGroupedV1,186.0,13.0
694,AllMapsGroupedV1,189.0,13.0
719,AllMapsGroupedV1,198.0,13.0
729,AllMapsGroupedV1,200.0,13.0
909,AllMapsGroupedV1,280.0,13.0
964,AllMapsGroupedV1,350.0,13.0
995,AllMapsGroupedV1,440.0,13.0
372,AllMapsGroupedV1,120.0,14.0
484,AllMapsGroupedV1,140.0,14.0
495,AllMapsGroupedV1,142.0,14.0
505,AllMapsGroupedV1,145.0,14.0
538,AllMapsGroupedV1,150.0,14.0
587,AllMapsGroupedV1,165.0,14.0
591,AllMapsGroupedV1,167.0,14.0
647,AllMapsGroupedV1,175.0,14.0
736,AllMapsGroupedV1,200.0,14.0
838,AllMapsGroupedV1,224.0,14.0
896,AllMapsGroupedV1,265.0,14.0
898,AllMapsGroupedV1,268.0,14.0
925,AllMapsGroupedV1,300.0,14.0
965,AllMapsGroupedV1,350.0,14.0
333,AllMapsGroupedV1,110.0,15.0
393,AllMapsGroupedV1,122.0,15.0
430,AllMapsGroupedV1,129.0,15.0
443,AllMapsGroupedV1,130.0,15.0
564,AllMapsGroupedV1,160.0,15.0
582,AllMapsGroupedV1,164.0,15.0
613,AllMapsGroupedV1,170.0,15.0
663,AllMapsGroupedV1,180.0,15.0
894,AllMapsGroupedV1,260.0,15.0
966,AllMapsGroupedV1,350.0,15.0
374,AllMapsGroupedV1,120.0,16.0
457,AllMapsGroupedV1,135.0,16.0
598,AllMapsGroupedV1,169.0,16.0
614,AllMapsGroupedV1,170.0,16.0
626,AllMapsGroupedV1,174.0,16.0
742,AllMapsGroupedV1,200.0,16.0
785,AllMapsGroupedV1,205.0,16.0
800,AllMapsGroupedV1,210.0,16.0
840,AllMapsGroupedV1,225.0,16.0
842,AllMapsGroupedV1,228.0,16.0
926,AllMapsGroupedV1,300.0,16.0
444,AllMapsGroupedV1,130.0,17.0
466,AllMapsGroupedV1,138.0,17.0
565,AllMapsGroupedV1,160.0,17.0
631,AllMapsGroupedV1,174.0,17.0
748,AllMapsGroupedV1,200.0,17.0
944,AllMapsGroupedV1,320.0,17.0
971,AllMapsGroupedV1,350.0,17.0
266,AllMapsGroupedV1,100.0,18.0
417,AllMapsGroupedV1,126.0,18.0
485,AllMapsGroupedV1,140.0,18.0
496,AllMapsGroupedV1,142.0,18.0
566,AllMapsGroupedV1,160.0,18.0
678,AllMapsGroupedV1,182.0,18.0
751,AllMapsGroupedV1,200.0,18.0
801,AllMapsGroupedV1,210.0,18.0
895,AllMapsGroupedV1,263.0,18.0
956,AllMapsGroupedV1,340.0,18.0
972,AllMapsGroupedV1,350.0,18.0
301,AllMapsGroupedV1,103.0,19.0
428,AllMapsGroupedV1,128.0,19.0
461,AllMapsGroupedV1,137.0,19.0
508,AllMapsGroupedV1,146.0,19.0
547,AllMapsGroupedV1,153.0,19.0
599,AllMapsGroupedV1,169.0,19.0
617,AllMapsGroupedV1,170.0,19.0
656,AllMapsGroupedV1,177.0,19.0
704,AllMapsGroupedV1,190.0,19.0
713,AllMapsGroupedV1,191.0,19.0
844,AllMapsGroupedV1,230.0,19.0
941,AllMapsGroupedV1,312.0,19.0
984,AllMapsGroupedV1,400.0,19.0
202,AllMapsGroupedV1,60.0,20.0
268,AllMapsGroupedV1,100.0,20.0
345,AllMapsGroupedV1,114.0,20.0
445,AllMapsGroupedV1,130.0,20.0
618,AllMapsGroupedV1,170.0,20.0
695,AllMapsGroupedV1,189.0,20.0
752,AllMapsGroupedV1,200.0,20.0
854,AllMapsGroupedV1,240.0,20.0
929,AllMapsGroupedV1,300.0,20.0
976,AllMapsGroupedV1,360.0,20.0
985,AllMapsGroupedV1,400.0,20.0
213,AllMapsGroupedV1,81.0,21.0
269,AllMapsGroupedV1,100.0,21.0
506,AllMapsGroupedV1,145.0,21.0
664,AllMapsGroupedV1,180.0,21.0
691,AllMapsGroupedV1,188.0,21.0
705,AllMapsGroupedV1,190.0,21.0
721,AllMapsGroupedV1,199.0,21.0
839,AllMapsGroupedV1,224.0,21.0
878,AllMapsGroupedV1,252.0,21.0
273,AllMapsGroupedV1,100.0,22.0
650,AllMapsGroupedV1,175.0,22.0
665,AllMapsGroupedV1,180.0,22.0
706,AllMapsGroupedV1,190.0,22.0
715,AllMapsGroupedV1,193.0,22.0
808,AllMapsGroupedV1,212.0,22.0
845,AllMapsGroupedV1,230.0,22.0
857,AllMapsGroupedV1,240.0,22.0
953,AllMapsGroupedV1,324.0,22.0
986,AllMapsGroupedV1,400.0,22.0
209,AllMapsGroupedV1,80.0,23.0
348,AllMapsGroupedV1,115.0,23.0
462,AllMapsGroupedV1,137.0,23.0
539,AllMapsGroupedV1,150.0,23.0
652,AllMapsGroupedV1,176.0,23.0
657,AllMapsGroupedV1,177.0,23.0
707,AllMapsGroupedV1,190.0,23.0
823,AllMapsGroupedV1,220.0,23.0
897,AllMapsGroupedV1,266.0,23.0
973,AllMapsGroupedV1,350.0,23.0
218,AllMapsGroupedV1,89.0,24.0
392,AllMapsGroupedV1,121.0,24.0
